Year,Group,Cohort,Occupation Number,Weighted Total People in Occ,Avg Occ Income,Education,Wage
2010,10,2,59,45726.0,36936.7,12.3,
2010,10,2,60,71116.5,22756.7,11.2,
2010,10,2,61,390288.5,34297.5,11.9,
2010,10,2,62,315448.5,33307.2,11.9,
2010,10,2,63,126215.0,40077.6,12.8,
2010,10,2,64,931937.5,36819.3,12.1,
2010,10,2,65,139026.5,45585.9,12.2,
2010,10,2,66,449369.0,28094.1,11.7,
2010,1,2,0,1701938.0,,12.0,
2010,1,2,1,1622967.5,98373.1,15.2,38.48
2010,1,2,2,563472.5,95396.9,15.7,37.58
2010,1,2,3,24037.0,80007.9,16.8,31.57
2010,1,2,4,255585.0,88078.1,16.1,35.85
2010,1,2,5,324952.0,77425.7,15.1,32.25
2010,1,2,6,65495.5,82108.7,17.7,32.82
2010,1,2,7,131042.5,211237.9,18.9,74.78
2010,1,2,8,74435.0,88223.6,16.1,35.77
2010,1,2,9,45806.0,83728.3,16.8,30.61
2010,1,2,10,92899.0,63813.5,18.4,23.95
2010,1,2,11,314380.5,47795.2,17.2,16.31
2010,1,2,12,8009.5,52247.5,17.8,20.07
2010,1,2,13,42706.5,102165.0,17.0,39.28
2010,1,2,14,93763.5,47568.0,16.3,17.79
2010,1,2,15,134817.5,165213.8,18.9,62.79
2010,1,2,16,222796.5,63891.9,15.2,24.93
2010,1,2,17,80434.5,58002.6,14.1,22.56
2010,1,2,18,110601.5,53879.4,13.6,23.03
2010,1,2,19,14838.5,56994.8,13.5,22.70
2010,1,2,20,274634.0,89996.6,15.5,36.57
2010,1,2,21,1254683.5,75453.9,14.1,31.38
2010,1,2,22,23600.0,47723.0,14.2,18.74
2010,1,2,23,27660.0,44138.3,14.0,18.74
2010,1,2,24,18696.5,39045.7,13.6,17.81
2010,1,2,25,31455.0,54434.9,14.1,20.48
2010,1,2,26,4818.5,38803.0,12.8,20.49
2010,1,2,27,11969.0,52545.6,13.9,23.22
2010,1,2,28,66183.0,49455.5,12.9,19.78
2010,1,2,29,235037.5,38868.7,12.8,16.78
2010,1,2,30,136970.0,51830.6,14.2,21.83
2010,1,2,31,59513.0,48988.6,14.2,21.02
2010,1,2,32,16351.0,21453.8,11.2,11.15
2010,1,2,33,89852.0,70383.1,13.7,24.08
2010,1,2,34,311492.0,67202.6,14.0,26.93
2010,1,2,35,85337.5,40217.3,13.2,17.13
2010,1,2,36,312560.5,25628.6,12.0,11.77
2010,1,2,37,51592.5,35629.0,13.3,14.69
2010,1,2,38,219681.5,31647.7,11.9,14.29
2010,1,2,39,93519.0,39077.1,13.6,18.64
2010,1,2,40,74936.0,56429.9,12.8,17.79
2010,1,2,41,90761.0,22103.8,9.7,8.86
2010,1,2,42,215628.0,26940.2,11.1,12.22
2010,1,2,43,31315.5,34349.2,11.6,12.94
2010,1,2,44,435695.0,44644.9,12.3,18.70
2010,1,2,45,195392.0,47188.6,12.8,20.78
2010,1,2,46,155287.5,43710.4,12.5,18.53
2010,1,2,47,1227029.0,35875.7,11.8,16.43
2010,1,2,48,32219.5,53277.3,11.9,15.65
2010,1,2,49,147773.5,57300.7,12.8,22.17
2010,1,2,50,75823.0,43182.1,12.4,18.66
2010,1,2,51,10785.0,32594.4,12.0,14.87
2010,1,2,52,7633.5,29846.7,11.5,13.94
2010,1,2,53,27184.5,40059.2,13.0,17.24
2010,1,2,54,41910.0,31054.6,11.3,13.34
2010,1,2,55,43163.5,60480.9,12.8,23.53
2010,1,2,56,23666.0,33110.2,11.9,14.28
2010,1,2,57,8827.0,35057.7,12.2,16.46
2010,1,2,58,57733.0,34020.1,11.8,14.77
2010,1,2,59,32027.5,39990.2,12.3,17.73
2010,1,2,60,21666.0,28674.3,11.3,12.56
2010,1,2,61,236011.5,38052.4,11.9,16.02
2010,1,2,62,209517.0,36134.2,11.9,15.28
2010,1,2,63,69426.5,46920.4,13.0,18.62
2010,1,2,64,649804.5,38807.1,12.0,15.36
2010,1,2,65,119742.0,45440.8,12.1,17.21
2010,1,2,66,263980.0,30724.5,11.7,13.31
2010,2,2,0,4474909.0,,13.2,
2010,2,2,1,997901.5,68774.7,15.3,27.87
2010,2,2,2,703609.0,57840.8,15.0,23.85
2010,2,2,3,6548.5,59547.6,17.1,27.25
2010,2,2,4,33387.5,77925.7,16.5,30.96
2010,2,2,5,115446.5,62157.9,15.2,27.11
2010,2,2,6,39467.5,70286.6,17.9,29.24
2010,2,2,7,84888.0,142760.3,18.9,50.35
2010,2,2,8,444825.0,58894.0,15.5,25.67
2010,2,2,9,137382.0,51996.5,16.9,22.45
2010,2,2,10,92069.5,47980.0,18.3,18.48
2010,2,2,11,1011246.5,32975.0,16.7,10.81
2010,2,2,12,23472.0,40334.4,17.7,16.14
2010,2,2,13,59494.0,66616.4,17.3,28.47
2010,2,2,14,141923.0,38186.5,16.2,16.12
2010,2,2,15,80174.0,127496.3,18.8,48.05
2010,2,2,16,155897.5,45719.7,15.5,19.75
2010,2,2,17,235549.0,41348.2,13.8,18.85
2010,2,2,18,23753.5,41957.4,14.2,18.41
2010,2,2,19,7047.0,49083.6,14.4,19.91
2010,2,2,20,132241.5,57239.0,14.8,24.79
2010,2,2,21,899218.0,41870.5,13.6,18.79
2010,2,2,22,506345.5,32187.1,13.3,14.36
2010,2,2,23,157205.0,26405.4,13.1,12.06
2010,2,2,24,70936.5,30466.0,13.4,12.60
2010,2,2,25,272345.5,33110.7,13.1,15.02
2010,2,2,26,4979.5,33410.1,12.7,15.90
2010,2,2,27,16056.5,32286.9,13.3,14.86
2010,2,2,28,33401.0,37718.9,12.7,16.14
2010,2,2,29,162690.0,31384.4,12.7,13.03
2010,2,2,30,312264.0,34777.6,13.4,15.60
2010,2,2,31,273497.0,31414.8,13.4,13.69
2010,2,2,32,149970.5,14928.0,11.0,7.55
2010,2,2,33,3755.0,63504.6,14.3,21.21
2010,2,2,34,58177.0,55074.6,14.3,22.95
2010,2,2,35,25480.5,32758.4,13.2,14.53
2010,2,2,36,368320.0,16176.0,12.0,7.60
2010,2,2,37,401770.5,24036.7,12.7,10.94
2010,2,2,38,91099.0,18873.3,11.3,9.39
2010,2,2,39,343331.5,23704.5,13.1,10.72
2010,2,2,40,10879.5,33888.5,13.3,12.39
2010,2,2,41,24631.5,14738.2,10.1,6.26
2010,2,2,42,35321.0,21182.1,12.4,9.70
2010,2,2,43,3048.0,25629.4,13.1,8.75
2010,2,2,44,11665.0,44916.2,13.2,17.70
2010,2,2,45,11089.0,42321.3,13.5,19.08
2010,2,2,46,6568.5,34321.3,13.4,14.14
2010,2,2,47,28888.0,28702.2,12.5,12.61
2010,2,2,48,952.0,44486.2,12.2,13.39
2010,2,2,49,26736.0,43979.3,13.0,17.30
2010,2,2,50,3886.5,25839.2,12.0,13.64
2010,2,2,51,962.5,26526.2,13.3,10.06
2010,2,2,52,5964.5,21981.3,12.0,10.03
2010,2,2,53,71300.0,30616.0,13.3,13.48
2010,2,2,54,28642.5,20592.7,11.4,8.64
2010,2,2,55,2232.0,43976.9,13.5,19.49
2010,2,2,56,5273.0,22520.3,11.8,9.94
